Listing_ID,Product_ID,Product_Category,Product_Name,Platform,Condition,Market_Value_INR,Listing_Price_INR,Discount_Percentage,Potential_Gain_INR
LISTING_00737,PRD00737,Cameras,Action Camera,OLX,Poor,142820.0,24280.0,83.0,118540.0
LISTING_00519,PRD00519,Cameras,DSLR,OLX,Fair,181300.0,74210.0,59.07,107090.0
LISTING_00301,PRD00301,Cameras,DSLR,Amazon Renewed,Like New,196170.0,92890.0,52.65,103280.0
LISTING_00535,PRD00535,Gaming,Gaming Console,Amazon Renewed,Fair,154370.0,53910.0,65.08,100460.0
LISTING_00193,PRD00193,Laptops,IdeaPad,Cashify,Fair,139330.0,42240.0,69.68,97090.0
LISTING_00712,PRD00712,Laptops,MacBook Air,Cashify,Good,150840.0,56690.0,62.42,94150.0
LISTING_00241,PRD00241,Gaming,Controller,OLX,Fair,128930.0,36550.0,71.65,92380.0
LISTING_00987,PRD00987,Laptops,MacBook Air,OLX,Fair,132950.0,41270.0,68.96,91680.0
LISTING_00889,PRD00889,Laptops,Inspiron,EchoChain Marketplace,Fair,134420.0,44400.0,66.97,90020.0
LISTING_00852,PRD00852,Gaming,Monitor,Cashify,Fair,144610.0,55170.0,61.85,89440.0
LISTING_00343,PRD00343,Smartphones,Xperia,EchoChain Marketplace,Fair,130250.0,41970.0,67.78,88280.0
LISTING_00514,PRD00514,Gaming,Controller,Local Dealer,Fair,148170.0,60260.0,59.33,87910.0
LISTING_00903,PRD00903,Laptops,Pavilion,EchoChain Marketplace,Fair,141500.0,54890.0,61.21,86610.0
LISTING_00733,PRD00733,Gaming,Controller,EchoChain Marketplace,Poor,111520.0,27810.0,75.06,83710.0
LISTING_00149,PRD00149,Smartphones,Xperia,Local Dealer,Fair,116250.0,33930.0,70.81,82320.0
LISTING_00495,PRD00495,Laptops,Inspiron,EchoChain Marketplace,Good,158090.0,76200.0,51.8,81890.0
LISTING_00447,PRD00447,Laptops,ThinkPad,Amazon Renewed,Like New,149420.0,67730.0,54.67,81690.0
LISTING_00434,PRD00434,Laptops,Pavilion,Local Dealer,Good,141540.0,60120.0,57.52,81420.0
LISTING_00500,PRD00500,Laptops,Pavilion,Local Dealer,Fair,135510.0,55570.0,58.99,79940.0
LISTING_00401,PRD00401,Smartphones,OnePlus,EchoChain Marketplace,Fair,114380.0,35790.0,68.71,78590.0
