Transaction_ID,Product_ID,Product_Category,Product_Name,Brand,Purchase_Date,Original_Price_INR,Current_Market_Value_INR,Condition_at_Resale,Ownership_Cycle,Resale_Date,Resale_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Recycling_Eligible,Recycled,Recycling_Date,Material_Recovered_Kg,CO2_Saved_Kg,Waste_Diverted_Kg,Circularity_Score,Customer_Rating,Region,City,Final_Disposition,Listing_ID,Condition,Market_Value_INR,Listing_Price_INR,Price_Difference_INR,Discount_Percentage,Listing_to_Market_Ratio,Pricing_Category
EC00001,PRD00001,Fashion,Denim,Levi's,2024-02-01,23860,19270,Good,2,2028-02-01,8270,Individual,Individual,Facebook Marketplace,Yes,2520,2,48,888,Expired,Not Returned,Yes,Yes,2028-03-16,8.16,158.73,6.26,72.0,4.4,North,Lucknow,Recycled,LISTING_00001,Good,19270.0,8270.0,11000.0,57.08,0.43,Below Market Value
EC00002,PRD00002,Fashion,Sneakers,Levi's,2024-12-30,13850,11160,Like New,5,2029-12-30,5940,Business,Individual,OLX,Yes,1460,2,60,3720,Expired,Not Returned,Yes,No,,0.0,53.18,0.2,78.8,4.1,North,Delhi,Resold,LISTING_00002,Like New,11160.0,5940.0,5220.0,46.77,0.53,Below Market Value
EC00003,PRD00003,Laptops,Pavilion,Acer,2023-05-11,166800,96100,Like New,3,2023-08-11,127950,Individual,Individual,OLX,Yes,10500,2,3,10994,Active,Not Returned,Yes,No,,0.0,466.69,13.17,72.3,3.4,South,Hyderabad,Refurbished,LISTING_00003,Like New,96100.0,127950.0,-31850.0,-33.14,1.33,Above Market Value
EC00004,PRD00004,Laptops,ThinkPad,Apple,2024-07-18,55480,48270,Fair,2,2028-09-18,16370,Individual,Individual,Amazon Renewed,No,0,1,50,6249,Expired,Not Returned,Yes,No,,0.0,253.35,2.64,49.1,2.9,West,Ahmedabad,Refurbished,LISTING_00004,Fair,48270.0,16370.0,31900.0,66.09,0.34,Below Market Value
EC00005,PRD00005,Smartphones,OnePlus,OnePlus,2024-02-05,116430,58620,Like New,2,2028-06-05,47270,Individual,Individual,OLX,Yes,3760,0,52,4816,Expired,Not Returned,Yes,No,,0.0,269.09,5.18,56.3,4.6,South,Chennai,Refurbished,LISTING_00005,Like New,58620.0,47270.0,11350.0,19.36,0.81,Below Market Value
EC00006,PRD00006,Cameras,DSLR,GoPro,2024-01-01,144280,86540,Good,1,2024-10-01,76170,Business,Business,Cashify,No,0,0,9,8603,Active,Not Returned,Yes,Yes,2024-10-16,56.27,72.94,21.46,53.7,3.4,South,Vijayawada,Refurbished,LISTING_00006,Good,86540.0,76170.0,10370.0,11.98,0.88,Below Market Value
EC00007,PRD00007,Smartphones,OnePlus,Google,2025-09-21,94100,50050,Fair,1,2030-02-21,22520,Individual,Individual,Local Dealer,Yes,13990,1,53,8702,Expired,Not Returned,No,No,,0.0,611.52,4.41,52.5,3.7,East,Guwahati,Recycled,LISTING_00007,Fair,50050.0,22520.0,27530.0,55.0,0.45,Below Market Value
EC00008,PRD00008,Home Appliances,Washing Machine,IFB,2023-11-11,95550,72190,Good,1,2026-03-11,42100,Individual,Business,OLX,Yes,10690,4,28,10600,Expired,Returned,Yes,No,,0.0,450.38,6.28,54.9,3.4,North,Jaipur,Resold,LISTING_00008,Good,72190.0,42100.0,30090.0,41.68,0.58,Below Market Value
EC00009,PRD00009,Laptops,MacBook Air,Acer,2025-06-27,102510,62530,Good,1,2026-02-27,53230,Individual,Business,Cashify,Yes,14520,1,8,11005,Active,Not Returned,Yes,No,,0.0,304.69,2.35,60.8,4.4,South,Chennai,Refurbished,LISTING_00009,Good,62530.0,53230.0,9300.0,14.87,0.85,Below Market Value
EC00010,PRD00010,Smartphones,Galaxy S Series,Google,2021-05-02,120410,58360,Fair,2,2023-08-02,40820,Individual,Individual,EchoChain Marketplace,No,0,3,27,8163,Expired,Not Returned,Yes,No,,0.0,565.3,3.48,55.9,4.3,West,Nagpur,Resold,LISTING_00010,Fair,58360.0,40820.0,17540.0,30.05,0.7,Below Market Value
EC00011,PRD00011,Furniture,Dining Set,Pepperfry,2022-04-12,61890,47390,Like New,2,2024-05-12,35560,Individual,Individual,Local Dealer,No,0,2,25,1442,Extended,Not Returned,Yes,No,,0.0,282.98,3.38,57.9,3.8,South,Hyderabad,Resold,LISTING_00011,Like New,47390.0,35560.0,11830.0,24.96,0.75,Below Market Value
EC00012,PRD00012,Cameras,DSLR,Sony,2024-05-23,142710,112270,Good,2,2027-12-23,61820,Business,Individual,Facebook Marketplace,No,0,2,43,2228,Expired,Not Returned,Yes,No,,0.0,664.76,2.94,45.0,4.6,South,Kochi,Refurbished,LISTING_00012,Good,112270.0,61820.0,50450.0,44.94,0.55,Below Market Value
EC00013,PRD00013,Cameras,Camcorder,Sony,2021-11-27,82840,70000,Good,1,2025-10-27,33600,Business,Individual,EchoChain Marketplace,No,0,5,47,10944,Expired,Not Returned,Yes,No,,0.0,161.41,2.99,48.3,4.4,South,Vijayawada,Resold,LISTING_00013,Good,70000.0,33600.0,36400.0,52.0,0.48,Below Market Value
EC00014,PRD00014,Smartphones,Xperia,Google,2025-01-22,91570,59500,Good,3,2026-09-22,47170,Individual,Business,OLX,No,0,1,20,2736,Expired,Not Returned,Yes,No,,0.0,236.39,4.53,52.5,4.8,East,Kolkata,Resold,LISTING_00014,Good,59500.0,47170.0,12330.0,20.72,0.79,Below Market Value
EC00015,PRD00015,Gaming,Controller,Sony,2021-03-29,7450,3660,Like New,1,2024-10-29,4020,Business,Individual,OLX,No,0,0,43,4183,Expired,Not Returned,Yes,No,,0.0,7.34,0.51,49.9,4.2,East,Ranchi,Refurbished,LISTING_00015,Like New,3660.0,4020.0,-360.0,-9.84,1.1,Above Market Value
EC00016,PRD00016,Home Appliances,Vacuum Cleaner,Samsung,2024-10-28,78210,59290,Like New,1,2026-01-28,45670,Individual,Business,Amazon Renewed,No,0,3,15,2313,Expired,Not Returned,Yes,No,,0.0,139.21,5.51,52.2,3.9,North,Jaipur,Resold,LISTING_00016,Like New,59290.0,45670.0,13620.0,22.97,0.77,Below Market Value
EC00017,PRD00017,Laptops,MacBook Air,HP,2024-01-29,39980,34950,Good,3,2024-08-29,19810,Individual,Individual,Facebook Marketplace,No,0,1,7,5710,Active,Not Returned,Yes,No,,0.0,168.71,3.03,68.0,4.1,South,Vijayawada,Resold,LISTING_00017,Good,34950.0,19810.0,15140.0,43.32,0.57,Below Market Value
EC00018,PRD00018,Audio,Wireless Earbuds,JBL,2023-05-22,30010,23590,Good,2,2026-03-22,12270,Individual,Individual,OLX,No,0,1,34,6022,Expired,Not Returned,Yes,No,,0.0,85.71,1.78,51.0,4.5,South,Kochi,Resold,LISTING_00018,Good,23590.0,12270.0,11320.0,47.99,0.52,Below Market Value
EC00019,PRD00019,Furniture,Office Chair,IKEA,2025-08-15,47290,24270,Fair,1,2028-01-15,14960,Individual,Individual,EchoChain Marketplace,No,0,0,29,4914,Extended,Not Returned,Yes,No,,0.0,81.69,2.78,49.1,3.2,East,Patna,Recycled,LISTING_00019,Fair,24270.0,14960.0,9310.0,38.36,0.62,Below Market Value
EC00020,PRD00020,Home Appliances,Air Conditioner,Samsung,2021-05-11,29950,23470,Good,2,2025-04-11,11310,Individual,Individual,Facebook Marketplace,Yes,4460,0,47,6043,Expired,Not Returned,Yes,No,,0.0,176.61,2.13,70.1,4.5,East,Ranchi,Refurbished,LISTING_00020,Good,23470.0,11310.0,12160.0,51.81,0.48,Below Market Value
EC00021,PRD00021,Audio,Bluetooth Speaker,Bose,2025-08-13,5260,2530,Good,3,2025-12-13,2920,Business,Individual,Amazon Renewed,No,0,1,4,9404,Active,Not Returned,Yes,No,,0.0,16.2,0.29,65.8,4.5,West,Ahmedabad,Resold,LISTING_00021,Good,2530.0,2920.0,-390.0,-15.42,1.15,Above Market Value
EC00022,PRD00022,Fashion,Jacket,Fossil,2024-08-25,33930,17240,Like New,2,2026-01-25,19700,Individual,Individual,Amazon Renewed,Yes,2660,0,17,4516,Expired,Not Returned,Yes,No,,0.0,92.81,1.29,58.7,4.6,East,Guwahati,Resold,LISTING_00022,Like New,17240.0,19700.0,-2460.0,-14.27,1.14,Above Market Value
EC00023,PRD00023,Furniture,Office Chair,Urban Ladder,2023-02-09,12630,7220,Like New,5,2025-07-09,6500,Individual,Individual,Amazon Renewed,Yes,1760,0,29,10246,Extended,Not Returned,Yes,No,,0.0,37.08,0.45,83.9,4.0,South,Vijayawada,Refurbished,LISTING_00023,Like New,7220.0,6500.0,720.0,9.97,0.9,Below Market Value
EC00024,PRD00024,Audio,Wireless Earbuds,JBL,2021-12-10,8940,5720,Good,1,2025-05-10,3490,Business,Individual,Amazon Renewed,No,0,0,41,11824,Expired,Not Returned,No,No,,0.0,14.94,0.35,48.8,4.2,East,Ranchi,Resold,LISTING_00024,Good,5720.0,3490.0,2230.0,38.99,0.61,Below Market Value
EC00025,PRD00025,Smartphones,OnePlus,Google,2025-02-24,63370,55010,Fair,2,2027-03-24,22510,Individual,Individual,EchoChain Marketplace,No,0,2,25,283,Expired,Not Returned,Yes,No,,0.0,187.06,2.23,53.2,2.9,East,Ranchi,Refurbished,LISTING_00025,Fair,55010.0,22510.0,32500.0,59.08,0.41,Below Market Value
EC00026,PRD00026,Cameras,Action Camera,Nikon,2024-12-08,54070,36350,Fair,3,2026-08-08,20880,Individual,Individual,Facebook Marketplace,Yes,4080,1,20,787,Extended,Not Returned,Yes,No,,0.0,262.68,2.67,74.6,4.4,North,Lucknow,Resold,LISTING_00026,Fair,36350.0,20880.0,15470.0,42.56,0.57,Below Market Value
EC00027,PRD00027,Smartphones,Galaxy S Series,Apple,2023-03-17,67690,53160,Fair,5,2028-01-17,16260,Individual,Individual,Facebook Marketplace,No,0,2,58,9048,Expired,Not Returned,Yes,No,,0.0,281.13,2.56,76.5,3.6,North,Delhi,Resold,LISTING_00027,Fair,53160.0,16260.0,36900.0,69.41,0.31,Below Market Value
EC00028,PRD00028,Laptops,Pavilion,Lenovo,2022-01-21,137150,112790,Good,1,2023-12-21,62370,Individual,Individual,EchoChain Marketplace,No,0,2,23,9657,Expired,Not Returned,Yes,No,,0.0,79.42,2.17,49.4,5.0,East,Guwahati,Resold,LISTING_00028,Good,112790.0,62370.0,50420.0,44.7,0.55,Below Market Value
EC00029,PRD00029,Smartphones,OnePlus,Sony,2024-04-30,45790,41350,Like New,4,2029-02-28,20380,Individual,Business,Cashify,No,0,1,58,8637,Expired,Not Returned,Yes,No,,0.0,205.65,3.53,61.4,4.4,East,Ranchi,Recycled,LISTING_00029,Like New,41350.0,20380.0,20970.0,50.71,0.49,Below Market Value
EC00030,PRD00030,Furniture,Dining Set,Godrej,2023-08-14,54480,31760,Good,2,2026-01-14,22490,Individual,Individual,Cashify,No,0,1,29,8906,Expired,Not Returned,Yes,No,,0.0,293.03,2.91,51.4,4.1,East,Patna,Landfill,LISTING_00030,Good,31760.0,22490.0,9270.0,29.19,0.71,Below Market Value
EC00031,PRD00031,Furniture,Office Chair,Pepperfry,2021-10-04,68760,37460,Like New,2,2025-10-04,35220,Individual,Individual,EchoChain Marketplace,No,0,1,48,8495,Expired,Not Returned,Yes,No,,0.0,253.11,2.36,53.9,4.1,South,Kochi,Resold,LISTING_00031,Like New,37460.0,35220.0,2240.0,5.98,0.94,Below Market Value
EC00032,PRD00032,Laptops,Pavilion,Lenovo,2024-03-30,138960,99320,Good,3,2025-08-30,76470,Individual,Individual,Local Dealer,Yes,7000,1,17,2853,Expired,Not Returned,No,No,,0.0,495.16,9.03,83.7,5.0,North,Jaipur,Resold,LISTING_00032,Good,99320.0,76470.0,22850.0,23.01,0.77,Below Market Value
EC00033,PRD00033,Fashion,Backpack,Levi's,2022-04-05,2910,1830,Like New,3,2025-09-05,1300,Individual,Individual,Local Dealer,Yes,110,1,41,7017,Expired,Not Returned,Yes,Yes,2025-10-15,2.58,14.66,1.06,80.5,4.5,West,Pune,Recycled,LISTING_00033,Like New,1830.0,1300.0,530.0,28.96,0.71,Below Market Value
EC00034,PRD00034,Gaming,Monitor,Microsoft,2024-08-30,83590,56160,Poor,4,2025-04-30,19860,Individual,Individual,Amazon Renewed,No,0,0,8,10592,Active,Not Returned,Yes,No,,0.0,239.31,3.48,75.3,4.5,South,Bengaluru,Resold,LISTING_00034,Poor,56160.0,19860.0,36300.0,64.64,0.35,Below Market Value
