Product_Name,Product_Category,Platform,Market_Value_INR,Listing_Price_INR,Discount_Percentage
Action Camera,Cameras,OLX,142820.0,24280.0,83.0
Backpack,Fashion,Local Dealer,34270.0,5830.0,82.99
iPhone,Smartphones,Amazon Renewed,27100.0,5410.0,80.04
Galaxy S Series,Smartphones,Local Dealer,19830.0,3970.0,79.98
Backpack,Fashion,Facebook Marketplace,21440.0,4380.0,79.57
Gaming Console,Gaming,Facebook Marketplace,22490.0,4620.0,79.46
Denim,Fashion,EchoChain Marketplace,32920.0,6790.0,79.37
Xperia,Smartphones,Facebook Marketplace,30530.0,6450.0,78.87
Watch,Fashion,Cashify,25160.0,5390.0,78.58
Microwave,Home Appliances,OLX,13980.0,3150.0,77.47
