Transaction_ID,Product_ID,Product_Category,Product_Name,Brand,Purchase_Date,Original_Price_INR,Current_Market_Value_INR,Condition_at_Resale,Ownership_Cycle,Resale_Date,Resale_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Recycling_Eligible,Recycled,Recycling_Date,Material_Recovered_Kg,CO2_Saved_Kg,Waste_Diverted_Kg,Circularity_Score,Customer_Rating,Region,City,Final_Disposition
EC00001,PRD00001,Fashion,Denim,Levi's,2024-02-01,23860,19270,Good,2,2028-02-01,8270,Individual,Individual,Facebook Marketplace,Yes,2520,2,48,888,Expired,Not Returned,Yes,Yes,2028-03-16,8.16,158.73,6.26,72,4.4,North,Lucknow,Recycled
EC00002,PRD00002,Fashion,Sneakers,Levi's,2024-12-30,13850,11160,Like New,5,2029-12-30,5940,Business,Individual,OLX,Yes,1460,2,60,3720,Expired,Not Returned,Yes,No,,0,53.18,0.2,78.8,4.1,North,Delhi,Resold
EC00003,PRD00003,Laptops,Pavilion,Acer,2023-05-11,166800,96100,Like New,3,2023-08-11,127950,Individual,Individual,OLX,Yes,10500,2,3,10994,Active,Not Returned,Yes,No,,0,466.69,13.17,72.3,3.4,South,Hyderabad,Refurbished
EC00004,PRD00004,Laptops,ThinkPad,Apple,2024-07-18,55480,48270,Fair,2,2028-09-18,16370,Individual,Individual,Amazon Renewed,No,0,1,50,6249,Expired,Not Returned,Yes,No,,0,253.35,2.64,49.1,2.9,West,Ahmedabad,Refurbished
EC00005,PRD00005,Smartphones,OnePlus,OnePlus,2024-02-05,116430,58620,Like New,2,2028-06-05,47270,Individual,Individual,OLX,Yes,3760,0,52,4816,Expired,Not Returned,Yes,No,,0,269.09,5.18,56.3,4.6,South,Chennai,Refurbished
EC00006,PRD00006,Cameras,DSLR,GoPro,2024-01-01,144280,86540,Good,1,2024-10-01,76170,Business,Business,Cashify,No,0,0,9,8603,Active,Not Returned,Yes,Yes,2024-10-16,56.27,72.94,21.46,53.7,3.4,South,Vijayawada,Refurbished
EC00007,PRD00007,Smartphones,OnePlus,Google,2025-09-21,94100,50050,Fair,1,2030-02-21,22520,Individual,Individual,Local Dealer,Yes,13990,1,53,8702,Expired,Not Returned,No,No,,0,611.52,4.41,52.5,3.7,East,Guwahati,Recycled
EC00008,PRD00008,Home Appliances,Washing Machine,IFB,2023-11-11,95550,72190,Good,1,2026-03-11,42100,Individual,Business,OLX,Yes,10690,4,28,10600,Expired,Returned,Yes,No,,0,450.38,6.28,54.9,3.4,North,Jaipur,Resold
EC00009,PRD00009,Laptops,MacBook Air,Acer,2025-06-27,102510,62530,Good,1,2026-02-27,53230,Individual,Business,Cashify,Yes,14520,1,8,11005,Active,Not Returned,Yes,No,,0,304.69,2.35,60.8,4.4,South,Chennai,Refurbished
EC00010,PRD00010,Smartphones,Galaxy S Series,Google,2021-05-02,120410,58360,Fair,2,2023-08-02,40820,Individual,Individual,EchoChain Marketplace,No,0,3,27,8163,Expired,Not Returned,Yes,No,,0,565.3,3.48,55.9,4.3,West,Nagpur,Resold
