Listing_ID,Product_ID,Product_Category,Product_Name,Brand,Condition,Market_Value_INR,Listing_Price_INR,Seller_Type,Buyer_Type,Platform,Refurbished,Refurbishment_Cost_INR,Repair_Count,Product_Age_Months,Usage_Hours,Warranty_Status,Return_Status,Region,City,Customer_Rating,Final_Disposition
LISTING_00001,PRD00001,Fashion,Denim,Levi's,Good,19270,8270,Individual,Individual,Facebook Marketplace,Yes,2520,2,48,888,Expired,Not Returned,North,Lucknow,4.4,Recycled
LISTING_00002,PRD00002,Fashion,Sneakers,Levi's,Like New,11160,5940,Business,Individual,OLX,Yes,1460,2,60,3720,Expired,Not Returned,North,Delhi,4.1,Resold
LISTING_00003,PRD00003,Laptops,Pavilion,Acer,Like New,96100,127950,Individual,Individual,OLX,Yes,10500,2,3,10994,Active,Not Returned,South,Hyderabad,3.4,Refurbished
LISTING_00004,PRD00004,Laptops,ThinkPad,Apple,Fair,48270,16370,Individual,Individual,Amazon Renewed,No,0,1,50,6249,Expired,Not Returned,West,Ahmedabad,2.9,Refurbished
LISTING_00005,PRD00005,Smartphones,OnePlus,OnePlus,Like New,58620,47270,Individual,Individual,OLX,Yes,3760,0,52,4816,Expired,Not Returned,South,Chennai,4.6,Refurbished
LISTING_00006,PRD00006,Cameras,DSLR,GoPro,Good,86540,76170,Business,Business,Cashify,No,0,0,9,8603,Active,Not Returned,South,Vijayawada,3.4,Refurbished
LISTING_00007,PRD00007,Smartphones,OnePlus,Google,Fair,50050,22520,Individual,Individual,Local Dealer,Yes,13990,1,53,8702,Expired,Not Returned,East,Guwahati,3.7,Recycled
LISTING_00008,PRD00008,Home Appliances,Washing Machine,IFB,Good,72190,42100,Individual,Business,OLX,Yes,10690,4,28,10600,Expired,Returned,North,Jaipur,3.4,Resold
LISTING_00009,PRD00009,Laptops,MacBook Air,Acer,Good,62530,53230,Individual,Business,Cashify,Yes,14520,1,8,11005,Active,Not Returned,South,Chennai,4.4,Refurbished
LISTING_00010,PRD00010,Smartphones,Galaxy S Series,Google,Fair,58360,40820,Individual,Individual,EchoChain Marketplace,No,0,3,27,8163,Expired,Not Returned,West,Nagpur,4.3,Resold
LISTING_00011,PRD00011,Furniture,Dining Set,Pepperfry,Like New,47390,35560,Individual,Individual,Local Dealer,No,0,2,25,1442,Extended,Not Returned,South,Hyderabad,3.8,Resold
LISTING_00012,PRD00012,Cameras,DSLR,Sony,Good,112270,61820,Business,Individual,Facebook Marketplace,No,0,2,43,2228,Expired,Not Returned,South,Kochi,4.6,Refurbished
LISTING_00013,PRD00013,Cameras,Camcorder,Sony,Good,70000,33600,Business,Individual,EchoChain Marketplace,No,0,5,47,10944,Expired,Not Returned,South,Vijayawada,4.4,Resold
LISTING_00014,PRD00014,Smartphones,Xperia,Google,Good,59500,47170,Individual,Business,OLX,No,0,1,20,2736,Expired,Not Returned,East,Kolkata,4.8,Resold
LISTING_00015,PRD00015,Gaming,Controller,Sony,Like New,3660,4020,Business,Individual,OLX,No,0,0,43,4183,Expired,Not Returned,East,Ranchi,4.2,Refurbished
LISTING_00016,PRD00016,Home Appliances,Vacuum Cleaner,Samsung,Like New,59290,45670,Individual,Business,Amazon Renewed,No,0,3,15,2313,Expired,Not Returned,North,Jaipur,3.9,Resold
LISTING_00017,PRD00017,Laptops,MacBook Air,HP,Good,34950,19810,Individual,Individual,Facebook Marketplace,No,0,1,7,5710,Active,Not Returned,South,Vijayawada,4.1,Resold
LISTING_00018,PRD00018,Audio,Wireless Earbuds,JBL,Good,23590,12270,Individual,Individual,OLX,No,0,1,34,6022,Expired,Not Returned,South,Kochi,4.5,Resold
LISTING_00019,PRD00019,Furniture,Office Chair,IKEA,Fair,24270,14960,Individual,Individual,EchoChain Marketplace,No,0,0,29,4914,Extended,Not Returned,East,Patna,3.2,Recycled
LISTING_00020,PRD00020,Home Appliances,Air Conditioner,Samsung,Good,23470,11310,Individual,Individual,Facebook Marketplace,Yes,4460,0,47,6043,Expired,Not Returned,East,Ranchi,4.5,Refurbished
LISTING_00021,PRD00021,Audio,Bluetooth Speaker,Bose,Good,2530,2920,Business,Individual,Amazon Renewed,No,0,1,4,9404,Active,Not Returned,West,Ahmedabad,4.5,Resold
LISTING_00022,PRD00022,Fashion,Jacket,Fossil,Like New,17240,19700,Individual,Individual,Amazon Renewed,Yes,2660,0,17,4516,Expired,Not Returned,East,Guwahati,4.6,Resold
LISTING_00023,PRD00023,Furniture,Office Chair,Urban Ladder,Like New,7220,6500,Individual,Individual,Amazon Renewed,Yes,1760,0,29,10246,Extended,Not Returned,South,Vijayawada,4.0,Refurbished
LISTING_00024,PRD00024,Audio,Wireless Earbuds,JBL,Good,5720,3490,Business,Individual,Amazon Renewed,No,0,0,41,11824,Expired,Not Returned,East,Ranchi,4.2,Resold
LISTING_00025,PRD00025,Smartphones,OnePlus,Google,Fair,55010,22510,Individual,Individual,EchoChain Marketplace,No,0,2,25,283,Expired,Not Returned,East,Ranchi,2.9,Refurbished
LISTING_00026,PRD00026,Cameras,Action Camera,Nikon,Fair,36350,20880,Individual,Individual,Facebook Marketplace,Yes,4080,1,20,787,Extended,Not Returned,North,Lucknow,4.4,Resold
LISTING_00027,PRD00027,Smartphones,Galaxy S Series,Apple,Fair,53160,16260,Individual,Individual,Facebook Marketplace,No,0,2,58,9048,Expired,Not Returned,North,Delhi,3.6,Resold
LISTING_00028,PRD00028,Laptops,Pavilion,Lenovo,Good,112790,62370,Individual,Individual,EchoChain Marketplace,No,0,2,23,9657,Expired,Not Returned,East,Guwahati,5.0,Resold
LISTING_00029,PRD00029,Smartphones,OnePlus,Sony,Like New,41350,20380,Individual,Business,Cashify,No,0,1,58,8637,Expired,Not Returned,East,Ranchi,4.4,Recycled
LISTING_00030,PRD00030,Furniture,Dining Set,Godrej,Good,31760,22490,Individual,Individual,Cashify,No,0,1,29,8906,Expired,Not Returned,East,Patna,4.1,Landfill
LISTING_00031,PRD00031,Furniture,Office Chair,Pepperfry,Like New,37460,35220,Individual,Individual,EchoChain Marketplace,No,0,1,48,8495,Expired,Not Returned,South,Kochi,4.1,Resold
LISTING_00032,PRD00032,Laptops,Pavilion,Lenovo,Good,99320,76470,Individual,Individual,Local Dealer,Yes,7000,1,17,2853,Expired,Not Returned,North,Jaipur,5.0,Resold
LISTING_00033,PRD00033,Fashion,Backpack,Levi's,Like New,1830,1300,Individual,Individual,Local Dealer,Yes,110,1,41,7017,Expired,Not Returned,West,Pune,4.5,Recycled
LISTING_00034,PRD00034,Gaming,Monitor,Microsoft,Poor,56160,19860,Individual,Individual,Amazon Renewed,No,0,0,8,10592,Active,Not Returned,South,Bengaluru,4.5,Resold
LISTING_00035,PRD00035,Furniture,Office Chair,Godrej,Good,40150,31380,Individual,Individual,OLX,No,0,0,32,2326,Expired,Not Returned,East,Kolkata,4.6,Resold
LISTING_00036,PRD00036,Furniture,Dining Set,Wakefit,Like New,59940,52900,Individual,Individual,OLX,No,0,3,23,664,Extended,Not Returned,South,Bengaluru,4.6,Resold
LISTING_00037,PRD00037,Laptops,MacBook Air,HP,Good,87680,77180,Individual,Individual,Cashify,No,0,2,3,7190,Active,Not Returned,North,Noida,3.8,Refurbished
LISTING_00038,PRD00038,Home Appliances,Air Conditioner,LG,Good,8540,7160,Business,Business,Amazon Renewed,Yes,1600,3,38,3323,Expired,Not Returned,North,Lucknow,5.0,Resold
LISTING_00039,PRD00039,Audio,Headphones,Sony,Good,19440,9920,Individual,Business,EchoChain Marketplace,No,0,0,23,10844,Expired,Not Returned,East,Guwahati,2.6,Refurbished
LISTING_00040,PRD00040,Audio,Soundbar,JBL,Good,36540,23220,Individual,Individual,EchoChain Marketplace,No,0,3,13,5456,Expired,Not Returned,East,Guwahati,4.4,Recycled
LISTING_00041,PRD00041,Cameras,DSLR,Canon,Good,41640,35720,Business,Individual,Facebook Marketplace,Yes,8300,2,26,7790,Extended,Not Returned,North,Lucknow,3.7,Resold
LISTING_00042,PRD00042,Home Appliances,Vacuum Cleaner,Samsung,Fair,9710,3930,Individual,Individual,Cashify,No,0,0,40,10189,Expired,Not Returned,South,Chennai,2.3,Resold
LISTING_00043,PRD00043,Laptops,Pavilion,Dell,Fair,32990,21770,Individual,Individual,Facebook Marketplace,Yes,5330,0,36,923,Extended,Not Returned,North,Jaipur,4.3,Refurbished
LISTING_00044,PRD00044,Gaming,Monitor,ASUS,Good,26200,13810,Business,Individual,Local Dealer,No,0,2,59,3297,Expired,Not Returned,East,Patna,4.2,Resold
LISTING_00045,PRD00045,Home Appliances,Air Conditioner,LG,Good,16770,14150,Business,Business,Cashify,Yes,1420,0,8,4159,Active,Not Returned,South,Hyderabad,4.4,Resold
LISTING_00046,PRD00046,Smartphones,iPhone,Samsung,Good,36180,44700,Business,Individual,Cashify,No,0,2,3,10606,Active,Not Returned,North,Jaipur,3.9,Resold
LISTING_00047,PRD00047,Laptops,IdeaPad,Dell,Fair,104340,45930,Business,Individual,Amazon Renewed,Yes,5410,2,19,11606,Expired,Not Returned,South,Hyderabad,4.0,Resold
LISTING_00048,PRD00048,Gaming,Gaming Laptop,Meta,Fair,54710,22400,Business,Individual,Local Dealer,Yes,3690,1,46,2939,Expired,Not Returned,East,Kolkata,3.3,Refurbished
LISTING_00049,PRD00049,Laptops,Inspiron,Lenovo,Like New,138370,107290,Individual,Individual,EchoChain Marketplace,No,0,0,9,8909,Active,Not Returned,South,Hyderabad,2.9,Resold
LISTING_00050,PRD00050,Smartphones,OnePlus,Google,Poor,68310,19160,Business,Business,EchoChain Marketplace,Yes,11630,0,49,1343,Expired,Not Returned,East,Ranchi,3.3,Resold
LISTING_00051,PRD00051,Audio,Wireless Earbuds,Sennheiser,Good,2420,2280,Individual,Individual,Amazon Renewed,Yes,390,0,34,3037,Extended,Not Returned,West,Pune,3.6,Resold
LISTING_00052,PRD00052,Smartphones,Pixel,Samsung,Good,44550,20950,Individual,Individual,OLX,Yes,7060,1,60,10441,Expired,Not Returned,East,Guwahati,3.3,Refurbished
LISTING_00053,PRD00053,Fashion,Backpack,Nike,Poor,21440,4380,Individual,Individual,Facebook Marketplace,No,0,2,35,11543,Expired,Not Returned,West,Mumbai,2.6,Recycled
LISTING_00054,PRD00054,Furniture,Office Chair,Wakefit,Good,64400,42030,Individual,Business,OLX,No,0,1,17,780,Expired,Not Returned,North,Jaipur,4.6,Resold
LISTING_00055,PRD00055,Cameras,Mirrorless Camera,Panasonic,Fair,27410,8760,Individual,Individual,EchoChain Marketplace,No,0,0,53,3840,Expired,Not Returned,South,Kochi,3.4,Resold
LISTING_00056,PRD00056,Audio,Wireless Earbuds,Bose,Poor,21940,5580,Individual,Business,Facebook Marketplace,Yes,3060,0,52,7496,Expired,Not Returned,East,Bhubaneswar,2.0,Resold
LISTING_00057,PRD00057,Smartphones,Pixel,Apple,Good,30360,20810,Individual,Individual,Cashify,No,0,0,12,2834,Active,Not Returned,West,Nagpur,3.9,Refurbished
LISTING_00058,PRD00058,Smartphones,OnePlus,Samsung,Good,118070,59470,Individual,Business,Cashify,Yes,18050,0,30,4349,Expired,Not Returned,East,Ranchi,3.9,Refurbished
LISTING_00059,PRD00059,Fashion,Denim,Levi's,Fair,19620,14520,Individual,Individual,EchoChain Marketplace,No,0,1,14,4587,Expired,Not Returned,South,Hyderabad,4.1,Recycled
LISTING_00060,PRD00060,Smartphones,Pixel,Google,Good,17070,11670,Individual,Business,OLX,No,0,1,33,167,Expired,Not Returned,South,Kochi,4.2,Resold
LISTING_00061,PRD00061,Home Appliances,Microwave,IFB,Fair,19700,14780,Individual,Individual,Cashify,Yes,6030,0,15,9166,Expired,Not Returned,North,Jaipur,4.4,Recycled
LISTING_00062,PRD00062,Home Appliances,Vacuum Cleaner,Whirlpool,Good,50330,29370,Individual,Business,EchoChain Marketplace,No,0,1,43,9604,Expired,Not Returned,West,Mumbai,3.6,Refurbished
LISTING_00063,PRD00063,Smartphones,Pixel,Samsung,Like New,123220,77720,Business,Individual,Amazon Renewed,No,0,2,15,10497,Expired,Not Returned,North,Jaipur,4.4,Recycled
LISTING_00064,PRD00064,Home Appliances,Microwave,Daikin,Good,12370,6520,Individual,Individual,Cashify,Yes,1840,1,29,11650,Expired,Returned,South,Hyderabad,3.3,Resold
LISTING_00065,PRD00065,Smartphones,iPhone,Apple,Good,105080,57720,Business,Business,EchoChain Marketplace,Yes,12170,3,32,482,Extended,Not Returned,East,Guwahati,4.6,Recycled
LISTING_00066,PRD00066,Furniture,Bookshelf,Wakefit,Like New,55610,49810,Individual,Individual,Facebook Marketplace,No,0,1,14,4562,Expired,Not Returned,South,Kochi,4.0,Resold
LISTING_00067,PRD00067,Laptops,Inspiron,Dell,Good,96050,43590,Individual,Individual,OLX,No,0,1,60,7989,Expired,Not Returned,South,Chennai,2.5,Resold
LISTING_00068,PRD00068,Audio,Headphones,Sennheiser,Good,25160,15050,Individual,Business,OLX,No,0,4,37,717,Expired,Not Returned,West,Ahmedabad,4.3,Refurbished
LISTING_00069,PRD00069,Furniture,Dining Set,IKEA,Good,23430,13990,Individual,Individual,EchoChain Marketplace,Yes,1440,1,26,7420,Expired,Not Returned,South,Kochi,3.3,Refurbished
LISTING_00070,PRD00070,Cameras,Action Camera,Sony,Fair,51600,30200,Individual,Individual,Amazon Renewed,Yes,8990,0,19,9355,Expired,Not Returned,West,Pune,3.1,Refurbished
LISTING_00071,PRD00071,Furniture,Dining Set,Pepperfry,Good,27820,22970,Individual,Individual,OLX,No,0,2,6,10781,Active,Not Returned,North,Jaipur,4.2,Refurbished
LISTING_00072,PRD00072,Cameras,Mirrorless Camera,GoPro,Good,91590,54310,Business,Business,Facebook Marketplace,No,0,0,45,11815,Expired,Not Returned,East,Patna,3.9,Refurbished
LISTING_00073,PRD00073,Laptops,ThinkPad,Lenovo,Like New,49920,59260,Individual,Individual,EchoChain Marketplace,Yes,12690,0,12,3091,Active,Not Returned,North,Chandigarh,3.5,Recycled
LISTING_00074,PRD00074,Cameras,Lens,Panasonic,Good,128290,56340,Individual,Business,OLX,No,0,0,54,1234,Extended,Not Returned,West,Pune,4.4,Resold
LISTING_00075,PRD00075,Laptops,MacBook Air,Lenovo,Fair,106120,46800,Individual,Individual,Amazon Renewed,No,0,1,18,5828,Expired,Not Returned,North,Delhi,3.7,Recycled
LISTING_00076,PRD00076,Gaming,Gaming Laptop,Meta,Good,5980,6160,Individual,Individual,Local Dealer,No,0,1,27,4318,Expired,Not Returned,West,Mumbai,3.9,Refurbished
LISTING_00077,PRD00077,Laptops,Pavilion,Acer,Fair,60630,25810,Individual,Individual,OLX,No,0,2,54,1196,Expired,Not Returned,South,Bengaluru,4.3,Refurbished
LISTING_00078,PRD00078,Smartphones,Xperia,Samsung,Fair,84050,31410,Individual,Individual,Facebook Marketplace,No,0,2,59,10877,Expired,Not Returned,South,Kochi,4.8,Resold
LISTING_00079,PRD00079,Audio,Soundbar,Sennheiser,Fair,26910,10370,Individual,Individual,Facebook Marketplace,Yes,4500,1,36,3733,Expired,Not Returned,East,Guwahati,3.5,Resold
LISTING_00080,PRD00080,Laptops,ThinkPad,Lenovo,Fair,17510,11110,Individual,Individual,OLX,No,0,1,23,203,Extended,Not Returned,East,Guwahati,4.9,Resold
LISTING_00081,PRD00081,Laptops,ThinkPad,Acer,Like New,33580,16710,Individual,Individual,OLX,No,0,2,59,8758,Expired,Not Returned,South,Hyderabad,3.7,Resold
LISTING_00082,PRD00082,Fashion,Sneakers,Fossil,Good,21700,9600,Individual,Individual,Amazon Renewed,No,0,3,53,5352,Expired,Not Returned,South,Chennai,4.8,Refurbished
LISTING_00083,PRD00083,Smartphones,iPhone,Google,Good,49380,26780,Business,Business,Local Dealer,Yes,3230,3,43,9682,Expired,Not Returned,North,Delhi,4.2,Landfill
LISTING_00084,PRD00084,Furniture,Office Chair,Wakefit,Fair,48980,16050,Business,Business,OLX,Yes,2200,0,56,4283,Expired,Returned,South,Vijayawada,3.4,Resold
LISTING_00085,PRD00085,Laptops,ThinkPad,HP,Fair,89810,35810,Individual,Individual,Cashify,No,0,0,29,6217,Expired,Not Returned,South,Bengaluru,3.5,Resold
LISTING_00086,PRD00086,Furniture,Dining Set,Urban Ladder,Fair,18000,8190,Individual,Individual,Facebook Marketplace,No,0,4,35,2068,Extended,Not Returned,South,Vijayawada,3.2,Resold
LISTING_00087,PRD00087,Gaming,Gaming Console,Sony,Fair,68390,23770,Business,Individual,Cashify,No,0,2,60,9941,Expired,Not Returned,West,Mumbai,4.5,Recycled
